canonical_smiles,name,smiles,inchi_key,sources,source_ids,in_dilirank,dilirank_category,in_tdc_dili_pos,known_hepatotoxic
CC(=O)N[C@@H](Cc1cccc(C(=O)O)c1O)B(O)O,1(R)-1-Acetamido-2-(3-carboxy-2-hydroxyphenyl)ethyl boronic acid,B([C@H](CC1=C(C(=CC=C1)C(=O)O)O)NC(=O)C)(O)O,MSRKDROGGGBNIX-VIFPVBQESA-N,pubchem,5287794,0,unknown,0,0
CC(=O)N[C@@H](Cc1cccc2ccccc12)[B-](O)(O)O,L-1-naphthyl-2-acetamido-ethane boronic acid,[B-]([C@H](CC1=CC=CC2=CC=CC=C21)NC(=O)C)(O)(O)O,XDFLCBUAVBYWFW-AWEZNQCLSA-N,pubchem,449487,0,unknown,0,0
CC(=O)N[C@@H](Cc1cccc2ccccc12)[B-](O)(O)OC[C@H](N)C(=O)O,L-naphthyl-1-acetamido boronic acid alanine,[B-]([C@H](CC1=CC=CC2=CC=CC=C21)NC(=O)C)(O)(O)OC[C@@H](C(=O)O)N,KJSNEFAXFLDDDR-HOTGVXAUSA-N,pubchem,17754159,0,unknown,0,0
CC(=O)N[C@@H](Cc1ccccc1)C(=O)C(F)(F)F,Acetyl-phenylalanyl trifluoromethyl ketone,CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)C(F)(F)F,JTIIYPHJIDENCW-JTQLQIEISA-N,pubchem,124969,0,unknown,0,0
CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc(C(F)(F)P(=O)(O)O)cc1)C(N)=O,N-acetyl-L-phenylalanyl-4-(difluoro(phosphono)methyl)-L-phenylalaninamide,CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC2=CC=C(C=C2)C(F)(F)P(=O)(O)O)C(=O)N,KPMMESISHWWXNM-ROUUACIJSA-N,pubchem,9547919,0,unknown,0,0
CC(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](Cc1ccc([C@@H]2CC(=O)NS2(=O)=O)cc1)C(N)=O,"(2S)-N-[(1S)-1-carbamoyl-2-{4-[(5S)-1,1,3-trioxo-1$l^{6},2-thiazolidin-5-yl]phenyl}ethyl]-2-acetamido-3-phenylpropanamide",CC(=O)N[C@@H](CC1=CC=CC=C1)C(=O)N[C@@H](CC2=CC=C(C=C2)[C@@H]3CC(=O)NS3(=O)=O)C(=O)N,UILYPHAKDBTKQV-UFYCRDLUSA-N,pubchem,9547915,0,unknown,0,0
CC(=O)N[C@@H](Cc1ccccc1)C(O)(O)C(F)(F)F,"N-(1-Benzyl-3,3,3-trifluoro-2,2-dihydroxy-propyl)-acetamide",CC(=O)N[C@@H](CC1=CC=CC=C1)C(C(F)(F)F)(O)O,NETPVFJEHOGNPJ-JTQLQIEISA-N,pubchem,445824,0,unknown,0,0
CC(=O)N[C@@H]([C@@H](O)[C@H](O)[C@H](O)CO)[C@@H](O)CC(=O)C(=O)O,Aceneuramic Acid,CC(=O)N[C@H]([C@H](CC(=O)C(=O)O)O)[C@H]([C@@H]([C@@H](CO)O)O)O,KBGAYAKRZNYFFG-BOHATCBPSA-N,pubchem,14017587,0,unknown,0,0
CC(=O)N[C@@H]1C(O[C@@H]2O[C@H](C(=O)O)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](CO)O[C@H]1O[C@H]1[C@H](O)[C@@H](O)[C@H](OC2[C@@H](NC(C)=O)[C@H](O)O[C@H](CO)[C@H]2O)O[C@@H]1C(=O)O,GlyTouCan:G55584XQ,CC(=O)N[C@H]1[C@@H](O[C@@H]([C@H](C1O[C@H]2[C@@H]([C@H]([C@@H]([C@H](O2)C(=O)O)O[C@H]3[C@@H](C([C@@H]([C@H](O3)CO)O)O[C@H]4[C@@H]([C@H]([C@@H]([C@H](O4)C(=O)O)O)O)O)NC(=O)C)O)O)O)CO)O,KIUKXJAPPMFGSW-MNSSHETKSA-N,pubchem,24759,0,unknown,0,0
CC(=O)N[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,N-beta-D-Glucopyranosylacetamide,CC(=O)N[C@H]1[C@@H]([C@H]([C@@H]([C@H](O1)CO)O)O)O,IBONACLSSOLHFU-JAJWTYFOSA-N,pubchem,445382,0,unknown,0,0
