name,smiles,canonical_smiles,inchi_key,sources,source_ids,sider_terms,in_dilirank,dilirank_category,in_tdc_dili_pos,known_hepatotoxic
Mls003373964,C1C(OC(S1)CO)N2C=CC(=NC2=O)N,Nc1ccn(C2CSC(CO)O2)c(=O)n1,JTEGQNOMFQHVDC-UHFFFAOYSA-N,sider,3877,Alanine aminotransferase increased;Aspartate aminotransferase increased;Chronic hepatitis;Hepatic steatosis;Hepatitis;Hepatitis B;Hepatitis C;Hepatomegaly;Jaundice;Liver function test abnormal,0,unknown,0,1
Lamotrigine,C1=CC(=C(C(=C1)Cl)Cl)C2=C(N=C(N=N2)N)N,Nc1nnc(-c2cccc(Cl)c2Cl)c(N)n1,PYZRQGJRPPTADH-UHFFFAOYSA-N,sider,3878,Alanine aminotransferase increased;Aspartate aminotransferase increased;Hepatic failure;Hepatitis;Liver function test abnormal,0,unknown,0,1
Lansoprazole,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F,Cc1c(OCC(F)(F)F)ccnc1CS(=O)c1nc2ccccc2[nH]1,MJIHNNLFOKEZEW-UHFFFAOYSA-N,sider,3883,Alanine aminotransferase increased;Aspartate aminotransferase increased;Blood alkaline phosphatase increased;Drug-induced liver injury;Hepatitis;Hepatomegaly;Hepatotoxicity;Jaundice;Liver function test abnormal,0,unknown,0,1
"Isopropyl 7-[3,5-dihydroxy-2-(3-hydroxy-5-phenyl-pentyl)cyclopentyl]hept-5-enoate",CC(C)OC(=O)CCCC=CCC1C(CC(C1CCC(CCC2=CC=CC=C2)O)O)O,CC(C)OC(=O)CCCC=CCC1C(O)CC(O)C1CCC(O)CCc1ccccc1,GGXICVAJURFBLW-UHFFFAOYSA-N,sider,3890,Hepatic function abnormal,0,unknown,0,1
Leflunomide,CC1=C(C=NO1)C(=O)NC2=CC=C(C=C2)C(F)(F)F,Cc1oncc1C(=O)Nc1ccc(C(F)(F)F)cc1,VHOGYURTWQBHIL-UHFFFAOYSA-N,sider,3899,Acute yellow liver atrophy;Cholestasis;Hepatic enzyme abnormal;Hepatic enzyme increased;Hepatic failure;Hepatitis;Hepatocellular injury;Hepatotoxicity;Jaundice;Liver disorder;Liver function test abnormal;Liver injury;Traumatic liver injury,0,unknown,0,1
Letrozole,C1=CC(=CC=C1C#N)C(C2=CC=C(C=C2)C#N)N3C=NC=N3,N#Cc1ccc(C(c2ccc(C#N)cc2)n2cncn2)cc1,HPJKCIUCZWXJDR-UHFFFAOYSA-N,sider,3902,Hepatitis,0,unknown,0,1
Leuprelin Acetate,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CC2=CC=C(C=C2)O)NC(=O)C(CO)NC(=O)C(CC3=CNC4=CC=CC=C43)NC(=O)C(CC5=CN=CN5)NC(=O)C6CCC(=O)N6,CCNC(=O)C1CCCN1C(=O)C(CCCN=C(N)N)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(Cc1ccc(O)cc1)NC(=O)C(CO)NC(=O)C(Cc1c[nH]c2ccccc12)NC(=O)C(Cc1cnc[nH]1)NC(=O)C1CCC(=O)N1,GFIJNRVAKGFPGQ-UHFFFAOYSA-N,sider,3911,Hepatic function abnormal;Hepatitis;Hepatomegaly,0,unknown,0,1
(+-)-Methotrimeprazine,CC(CN1C2=CC=CC=C2SC3=C1C=C(C=C3)OC)CN(C)C,COc1ccc2c(c1)N(CC(C)CN(C)C)c1ccccc1S2,VRQVVMDWGGWHTJ-UHFFFAOYSA-N,sider,3916,Hepatocellular injury;Jaundice;Liver injury,0,unknown,0,1
Lincomycine,CCCC1CC(N(C1)C)C(=O)NC(C2C(C(C(C(O2)SC)O)O)O)C(C)O,CCCC1CC(C(=O)NC(C(C)O)C2OC(SC)C(O)C(O)C2O)N(C)C1,OJMMVQQUTAEWLP-UHFFFAOYSA-N,sider,3928,Hepatic function abnormal;Jaundice;Liver function test abnormal,0,unknown,0,1
rac-Linezolid,CC(=O)NCC1CN(C(=O)O1)C2=CC(=C(C=C2)N3CCOCC3)F,CC(=O)NCC1CN(c2ccc(N3CCOCC3)c(F)c2)C(=O)O1,TYZROVQLWOKYKF-UHFFFAOYSA-N,sider,3929,Alanine aminotransferase increased;Aspartate aminotransferase increased;Jaundice cholestatic;Liver function test abnormal,0,unknown,0,1
